cng_(Feet),DISTANCE_FROM_MOUTH,ELEVATION,ADJUSTED_ELEVATION,LONGITUDE,LATITUDE
464,56330.14340,437.91,437.91,-82.124344,33.472662
468,56326.14340,437.91,437.91,-82.124335,33.472654
472,56322.14340,437.54,437.54,-82.124325,33.472646
476,56318.14340,437.24,437.24,-82.124316,33.472638
480,56314.14340,437.24,437.24,-82.124307,33.472631
484,56310.14340,437.12,437.12,-82.124298,33.472623
488,56306.14340,437.09,437.09,-82.124297,33.472612
492,56302.14340,437.08,437.08,-82.124284,33.472612
496,56298.14340,436.88,436.88,-82.124271,33.472612
500,56294.14340,436.52,436.52,-82.124259,33.472612
504,56290.14340,436.52,436.52,-82.124259,33.472601
508,56286.14340,436.20,436.20,-82.124259,33.47259
512,56282.14340,436.11,436.11,-82.124258,33.472579
516,56278.14340,436.11,436.11,-82.124245,33.472579
520,56274.14340,435.93,435.93,-82.124232,33.472579
524,56270.14340,435.85,435.85,-82.124218,33.472579
528,56266.14340,435.67,435.67,-82.124206,33.472579
532,56262.14340,435.42,435.42,-82.124196,33.472571
536,56258.14340,435.20,435.20,-82.124185,33.472568
540,56254.14340,435.20,435.20,-82.124174,33.472563
544,56250.14340,435.19,435.19,-82.124164,33.472557
548,56246.14340,435.18,435.18,-82.124151,33.472557
552,56242.14340,434.85,434.85,-82.124141,33.472555
556,56238.14340,434.84,434.84,-82.124138,33.472546
560,56234.14340,434.84,434.84,-82.124125,33.472548
564,56230.14340,434.30,434.30,-82.124116,33.472556
568,56226.14340,433.25,433.25,-82.124104,33.472557
572,56222.14340,432.54,432.54,-82.12409,33.472557
576,56218.14340,432.11,432.11,-82.124077,33.472557
580,56214.14340,432.08,432.08,-82.124064,33.472557
584,56210.14340,431.99,431.99,-82.124051,33.472557
588,56206.14340,431.63,431.63,-82.124038,33.472557
592,56202.14340,431.63,431.63,-82.124025,33.472557
596,56198.14340,431.87,431.63,-82.124012,33.472557
600,56194.14340,431.74,431.26,-82.123999,33.472557
604,56190.14340,430.89,430.89,-82.123989,33.472564
608,56186.14340,430.89,430.89,-82.123978,33.472568
612,56182.14340,431.32,430.89,-82.123966,33.472572
616,56178.14340,431.68,430.70,-82.123957,33.472579
620,56174.14340,431.25,430.52,-82.123944,33.472579
624,56170.14340,430.33,430.33,-82.123931,33.472579
628,56166.14340,431.16,430.33,-82.123918,33.472579
632,56162.14340,431.16,430.27,-82.123905,33.472579
636,56158.14340,430.43,430.20,-82.123891,33.472579
