cng_(Feet),DISTANCE_FROM_MOUTH,ELEVATION,ADJUSTED_ELEVATION,LONGITUDE,LATITUDE
17476,39318.14340,294.23,292.12,-82.083208,33.47534
17480,39314.14340,294.23,292.11,-82.083195,33.47534
17484,39310.14340,295.00,292.11,-82.083182,33.475342
17488,39306.14340,294.90,292.10,-82.083173,33.475349
17492,39302.14340,294.44,292.10,-82.083164,33.475357
17496,39298.14340,294.44,292.09,-82.083153,33.475362
17500,39294.14340,294.99,292.08,-82.08314,33.475362
17504,39290.14340,295.08,292.08,-82.083127,33.475362
17508,39286.14340,295.19,292.07,-82.083114,33.475362
17512,39282.14340,294.14,292.07,-82.083101,33.475362
17516,39278.14340,293.39,292.06,-82.083087,33.475362
17520,39274.14340,293.39,292.06,-82.083076,33.475359
17524,39270.14340,293.99,292.05,-82.083067,33.475351
17528,39266.14340,292.73,292.04,-82.083054,33.475351
17532,39262.14340,293.06,292.04,-82.08304,33.475351
17536,39258.14340,293.99,292.03,-82.083027,33.475351
17540,39254.14340,294.41,292.03,-82.083014,33.475351
17544,39250.14340,294.21,292.02,-82.083001,33.475351
17548,39246.14340,293.76,292.01,-82.082988,33.475351
17552,39242.14340,293.76,292.01,-82.082975,33.475351
17556,39238.14340,293.31,292.00,-82.082962,33.475351
17560,39234.14340,293.18,292.00,-82.082949,33.475351
17564,39230.14340,293.45,291.99,-82.082936,33.475351
17568,39226.14340,293.34,291.99,-82.082922,33.475351
17572,39222.14340,293.40,291.98,-82.082909,33.475351
17576,39218.14340,293.16,291.97,-82.0829,33.475358
17580,39214.14340,293.19,291.97,-82.082888,33.475362
17584,39210.14340,292.99,291.96,-82.082875,33.475362
17588,39206.14340,292.99,291.96,-82.082862,33.475362
17592,39202.14340,293.73,291.95,-82.082849,33.475362
17596,39198.14340,293.63,291.95,-82.082836,33.475362
17600,39194.14340,291.94,291.94,-82.082823,33.475362
17604,39190.14340,291.35,291.35,-82.08281,33.475362
17608,39186.14340,291.61,291.35,-82.082797,33.475362
17612,39182.14340,291.20,291.20,-82.082784,33.475362
17616,39178.14340,290.87,290.87,-82.08277,33.475362
17620,39174.14340,291.12,290.87,-82.082757,33.475362
17624,39170.14340,291.12,290.85,-82.082744,33.475362
17628,39166.14340,292.00,290.84,-82.082731,33.475362
17632,39162.14340,292.44,290.82,-82.082718,33.475362
17636,39158.14340,292.83,290.81,-82.082705,33.475362
17640,39154.14340,292.83,290.79,-82.082694,33.475366
17644,39150.14340,292.78,290.77,-82.082684,33.475373
17648,39146.14340,291.91,290.76,-82.082671,33.475373
17652,39142.14340,290.96,290.74,-82.082658,33.475373
17656,39138.14340,290.91,290.73,-82.082645,33.475373
17660,39134.14340,290.91,290.71,-82.082632,33.475373
17664,39130.14340,291.66,290.70,-82.082618,33.475373
17668,39126.14340,290.68,290.68,-82.082605,33.475373
17672,39122.14340,290.55,290.55,-82.082592,33.475373
17676,39118.14340,291.08,290.55,-82.082579,33.475373
17680,39114.14340,291.62,290.48,-82.082566,33.475373
17684,39110.14340,291.28,290.40,-82.082553,33.475373
17688,39106.14340,290.33,290.33,-82.08254,33.475373
17692,39102.14340,290.46,290.33,-82.082527,33.475373
17696,39098.14340,290.46,290.29,-82.082513,33.475373
17700,39094.14340,290.25,290.25,-82.0825,33.475373
17704,39090.14340,290.00,290.00,-82.082487,33.475373
17708,39086.14340,289.60,289.60,-82.082474,33.475373
17712,39082.14340,289.94,289.60,-82.082461,33.475372
17716,39078.14340,289.57,289.57,-82.082448,33.475372
17720,39074.14340,290.25,289.57,-82.082435,33.475372
17724,39070.14340,290.82,289.54,-82.082422,33.475372
17728,39066.14340,290.74,289.51,-82.082409,33.475372
17732,39062.14340,290.74,289.47,-82.082395,33.475372
17736,39058.14340,290.66,289.44,-82.082382,33.475372
17740,39054.14340,291.21,289.41,-82.08237,33.475374
17744,39050.14340,291.61,289.38,-82.08236,33.475381
17748,39046.14340,290.15,289.35,-82.082351,33.475389
17752,39042.14340,290.15,289.31,-82.082341,33.475394
17756,39038.14340,290.52,289.28,-82.082328,33.475394
17760,39034.14340,290.90,289.25,-82.082314,33.475394
17764,39030.14340,291.05,289.22,-82.082301,33.475394
17768,39026.14340,291.05,289.19,-82.082288,33.475394
17772,39022.14340,291.25,289.15,-82.082275,33.475394
17776,39018.14340,291.69,289.12,-82.082263,33.475397
17780,39014.14340,289.09,289.09,-82.082254,33.475405
17784,39010.14340,289.42,289.09,-82.082241,33.475405
17788,39006.14340,288.94,288.94,-82.082228,33.475405
17792,39002.14340,290.00,288.94,-82.082215,33.475405
17796,38998.14340,291.19,288.93,-82.082202,33.475405
17800,38994.14340,289.54,288.92,-82.082189,33.475405
17804,38990.14340,289.54,288.91,-82.082176,33.475405
17808,38986.14340,289.85,288.91,-82.082162,33.475405
17812,38982.14340,289.52,288.90,-82.082149,33.475405
17816,38978.14340,291.32,288.89,-82.082136,33.475405
17820,38974.14340,291.26,288.88,-82.082127,33.475412
17824,38970.14340,291.26,288.87,-82.082117,33.47542
17828,38966.14340,291.48,288.86,-82.082108,33.475427
17832,38962.14340,291.70,288.85,-82.082095,33.475427
17836,38958.14340,290.50,288.85,-82.082081,33.475427
17840,38954.14340,289.88,288.84,-82.082068,33.475427
17844,38950.14340,289.88,288.83,-82.082055,33.475427
17848,38946.14340,289.71,288.82,-82.082042,33.475427
17852,38942.14340,289.40,288.81,-82.082029,33.475427
17856,38938.14340,289.04,288.80,-82.082016,33.475427
17860,38934.14340,289.48,288.79,-82.082003,33.475427
17864,38930.14340,289.55,288.79,-82.08199,33.475427
17868,38926.14340,289.54,288.78,-82.081976,33.475427
17872,38922.14340,289.62,288.77,-82.081963,33.475427
17876,38918.14340,289.62,288.76,-82.08195,33.475427
17880,38914.14340,289.34,288.75,-82.081937,33.475427
17884,38910.14340,290.22,288.74,-82.081924,33.475427
17888,38906.14340,290.52,288.73,-82.081911,33.475427
17892,38902.14340,290.54,288.73,-82.081898,33.475427
17896,38898.14340,290.42,288.72,-82.081885,33.475427
17900,38894.14340,290.39,288.71,-82.081872,33.475427
17904,38890.14340,290.95,288.70,-82.081858,33.475427
17908,38886.14340,291.64,288.69,-82.081845,33.475427
17912,38882.14340,291.64,288.68,-82.081832,33.475427
17916,38878.14340,291.01,288.68,-82.081819,33.475427
17920,38874.14340,291.29,288.67,-82.081806,33.475427
17924,38870.14340,291.57,288.66,-82.081793,33.475426
17928,38866.14340,291.26,288.65,-82.081784,33.475419
17932,38862.14340,291.55,288.64,-82.081772,33.475416
17936,38858.14340,291.83,288.63,-82.081759,33.475416
17940,38854.14340,291.83,288.62,-82.081748,33.475421
17944,38850.14340,291.80,288.62,-82.081739,33.475429
17948,38846.14340,291.33,288.61,-82.08173,33.475437
17952,38842.14340,291.33,288.60,-82.081717,33.475438
17956,38838.14340,290.86,288.59,-82.081704,33.475438
17960,38834.14340,290.53,288.58,-82.081691,33.475438
17964,38830.14340,290.61,288.57,-82.081678,33.475438
17968,38826.14340,290.59,288.56,-82.081665,33.475438
17972,38822.14340,289.63,288.56,-82.081652,33.475438
17976,38818.14340,289.03,288.55,-82.081639,33.475438
17980,38814.14340,289.24,288.54,-82.081625,33.475438
17984,38810.14340,289.24,288.53,-82.081612,33.475438
17988,38806.14340,290.19,288.52,-82.081599,33.475438
17992,38802.14340,290.31,288.51,-82.081586,33.475438
17996,38798.14340,290.30,288.50,-82.081573,33.475438
18000,38794.14340,290.09,288.50,-82.08156,33.475438
18004,38790.14340,289.69,288.49,-82.081547,33.475438
18008,38786.14340,289.08,288.48,-82.081534,33.475438
18012,38782.14340,288.47,288.47,-82.081521,33.475438
18016,38778.14340,288.81,288.47,-82.081511,33.475444
18020,38774.14340,288.81,288.46,-82.081501,33.475452
18024,38770.14340,291.20,288.45,-82.081492,33.47546
18028,38766.14340,290.47,288.44,-82.081483,33.475468
18032,38762.14340,290.47,288.43,-82.081473,33.475475
18036,38758.14340,291.33,288.42,-82.081464,33.475483
18040,38754.14340,291.32,288.41,-82.081455,33.475491
18044,38750.14340,291.35,288.40,-82.081446,33.475499
18048,38746.14340,291.35,288.39,-82.081435,33.475504
18052,38742.14340,291.36,288.38,-82.081422,33.475504
18056,38738.14340,291.35,288.37,-82.081409,33.475504
18060,38734.14340,291.21,288.36,-82.081396,33.475504
18064,38730.14340,291.10,288.35,-82.081383,33.475504
18068,38726.14340,291.10,288.34,-82.081371,33.475506
18072,38722.14340,291.31,288.33,-82.081361,33.475514
18076,38718.14340,291.35,288.33,-82.081352,33.475522
18080,38714.14340,291.35,288.32,-82.081343,33.47553
18084,38710.14340,291.30,288.31,-82.081334,33.475537
18088,38706.14340,291.14,288.30,-82.081324,33.475545
18092,38702.14340,291.15,288.29,-82.081312,33.475548
18096,38698.14340,291.15,288.28,-82.081302,33.475542
18100,38694.14340,291.04,288.27,-82.081293,33.475534
18104,38690.14340,290.92,288.26,-82.081283,33.475527
18108,38686.14340,290.62,288.25,-82.081274,33.475519
18112,38682.14340,290.62,288.24,-82.081265,33.475511
18116,38678.14340,289.91,288.23,-82.081256,33.475503
18120,38674.14340,289.41,288.22,-82.081246,33.475496
18124,38670.14340,289.41,288.21,-82.081237,33.475488
18128,38666.14340,288.93,288.20,-82.081228,33.47548
18132,38662.14340,288.19,288.19,-82.081217,33.475473
18136,38658.14340,288.15,288.15,-82.081206,33.475467
18140,38654.14340,287.91,287.91,-82.081196,33.475461
18144,38650.14340,287.85,287.85,-82.081183,33.475461
18148,38646.14340,287.79,287.79,-82.08117,33.475463
18152,38642.14340,287.79,287.79,-82.081157,33.475464
18156,38638.14340,287.81,287.79,-82.081144,33.475466
18160,38634.14340,288.18,287.79,-82.081131,33.475468
18164,38630.14340,288.18,287.78,-82.081118,33.475469
18168,38626.14340,288.60,287.78,-82.081105,33.475471
18172,38622.14340,288.74,287.77,-82.081093,33.475473
18176,38618.14340,287.92,287.77,-82.081081,33.475478
18180,38614.14340,288.77,287.76,-82.081069,33.475483
18184,38610.14340,289.22,287.76,-82.081057,33.475487
18188,38606.14340,289.95,287.75,-82.081046,33.475493
18192,38602.14340,290.07,287.75,-82.081036,33.4755
18196,38598.14340,290.07,287.74,-82.081026,33.475508
18200,38594.14340,291.37,287.74,-82.081017,33.475515
18204,38590.14340,292.02,287.74,-82.081007,33.475522
18208,38586.14340,292.22,287.73,-82.080998,33.47553
18212,38582.14340,291.94,287.73,-82.08099,33.475539
18216,38578.14340,291.55,287.72,-82.080983,33.475548
18220,38574.14340,291.53,287.72,-82.080975,33.475557
18224,38570.14340,291.55,287.71,-82.080967,33.475566
18228,38566.14340,291.56,287.71,-82.080958,33.475574
18232,38562.14340,291.62,287.70,-82.08095,33.475582
18236,38558.14340,291.54,287.70,-82.080941,33.47559
18240,38554.14340,291.40,287.69,-82.080932,33.475599
18244,38550.14340,291.40,287.69,-82.080924,33.475607
18248,38546.14340,291.57,287.69,-82.080913,33.475612
18252,38542.14340,291.33,287.68,-82.0809,33.47561
18256,38538.14340,291.23,287.68,-82.080887,33.475608
18260,38534.14340,291.28,287.67,-82.080874,33.475607
18264,38530.14340,291.15,287.67,-82.080862,33.475604
18268,38526.14340,291.28,287.66,-82.08085,33.475599
18272,38522.14340,291.42,287.66,-82.080839,33.475594
18276,38518.14340,291.64,287.65,-82.080828,33.475588
18280,38514.14340,291.47,287.65,-82.080816,33.475583
18284,38510.14340,291.47,287.64,-82.080805,33.475577
18288,38506.14340,291.25,287.64,-82.080793,33.475572
18292,38502.14340,291.30,287.64,-82.080782,33.475566
18296,38498.14340,291.40,287.63,-82.080771,33.47556
18300,38494.14340,291.50,287.63,-82.080761,33.475553
18304,38490.14340,290.81,287.62,-82.080751,33.475546
18308,38486.14340,291.33,287.62,-82.080741,33.475539
18312,38482.14340,291.81,287.61,-82.08073,33.475532
18316,38478.14340,291.29,287.61,-82.08072,33.475526
18320,38474.14340,290.45,287.60,-82.08071,33.475519
18324,38470.14340,290.45,287.60,-82.0807,33.475512
18328,38466.14340,289.62,287.59,-82.080688,33.475508
18332,38462.14340,287.59,287.59,-82.080675,33.475505
18336,38458.14340,287.82,287.59,-82.080662,33.475503
18340,38454.14340,288.15,287.43,-82.080649,33.4755
18344,38450.14340,287.27,287.27,-82.080637,33.475497
18348,38446.14340,287.78,287.27,-82.080624,33.475495
18352,38442.14340,288.56,287.27,-82.080611,33.475492
18356,38438.14340,289.35,287.27,-82.080598,33.475489
18360,38434.14340,289.35,287.27,-82.080586,33.475487
18364,38430.14340,290.95,287.27,-82.080573,33.475486
18368,38426.14340,291.68,287.27,-82.080561,33.47549
18372,38422.14340,290.85,287.26,-82.080549,33.475494
18376,38418.14340,290.49,287.26,-82.080537,33.475498
18380,38414.14340,290.47,287.26,-82.080525,33.475503
18384,38410.14340,290.21,287.26,-82.080514,33.475509
18388,38406.14340,290.21,287.26,-82.080504,33.475515
18392,38402.14340,289.97,287.26,-82.080493,33.475522
18396,38398.14340,290.29,287.26,-82.080482,33.475528
18400,38394.14340,290.27,287.26,-82.080471,33.475534
18404,38390.14340,290.61,287.26,-82.080459,33.475536
18408,38386.14340,290.56,287.26,-82.080446,33.475536
18412,38382.14340,290.52,287.25,-82.080433,33.475536
18416,38378.14340,289.86,287.25,-82.08042,33.475536
18420,38374.14340,289.51,287.25,-82.080406,33.475536
18424,38370.14340,288.95,287.25,-82.080393,33.475536
18428,38366.14340,288.15,287.25,-82.08038,33.475536
18432,38362.14340,287.36,287.25,-82.080367,33.475536
18436,38358.14340,287.36,287.25,-82.080354,33.475536
18440,38354.14340,287.34,287.25,-82.080341,33.475536
18444,38350.14340,287.65,287.25,-82.080328,33.475536
18448,38346.14340,287.91,287.25,-82.080315,33.475536
18452,38342.14340,288.48,287.25,-82.080304,33.475542
18456,38338.14340,288.48,287.24,-82.080295,33.47555
18460,38334.14340,289.46,287.24,-82.080286,33.475557
18464,38330.14340,288.62,287.24,-82.080273,33.475558
18468,38326.14340,287.97,287.24,-82.08026,33.475558
18472,38322.14340,287.97,287.24,-82.080247,33.475558
18476,38318.14340,287.24,287.24,-82.080234,33.475558
18480,38314.14340,286.70,286.70,-82.08022,33.475558
18484,38310.14340,287.16,286.70,-82.080207,33.475558
18488,38306.14340,286.86,286.69,-82.080194,33.475558
18492,38302.14340,286.81,286.68,-82.080181,33.475558
18496,38298.14340,287.00,286.67,-82.080168,33.475558
18500,38294.14340,286.96,286.66,-82.080155,33.475558
18504,38290.14340,288.10,286.65,-82.080145,33.475551
18508,38286.14340,288.10,286.64,-82.080136,33.475543
18512,38282.14340,288.92,286.64,-82.080127,33.475535
18516,38278.14340,289.25,286.63,-82.080118,33.475527
18520,38274.14340,289.25,286.62,-82.080108,33.475519
18524,38270.14340,289.32,286.61,-82.080098,33.475514
18528,38266.14340,289.26,286.60,-82.080085,33.475514
18532,38262.14340,289.19,286.59,-82.080072,33.475514
18536,38258.14340,289.16,286.58,-82.080059,33.475514
18540,38254.14340,289.25,286.57,-82.080045,33.475514
18544,38250.14340,289.33,286.56,-82.080032,33.475514
18548,38246.14340,289.33,286.55,-82.08002,33.475516
18552,38242.14340,289.46,286.54,-82.080011,33.475524
18556,38238.14340,289.33,286.53,-82.080002,33.475531
18560,38234.14340,289.33,286.52,-82.079997,33.475541
18564,38230.14340,288.59,286.52,-82.079991,33.475547
18568,38226.14340,287.94,286.51,-82.079978,33.475547
18572,38222.14340,287.29,286.50,-82.079964,33.475547
18576,38218.14340,287.14,286.49,-82.079951,33.475547
18580,38214.14340,287.04,286.48,-82.079938,33.475547
18584,38210.14340,286.73,286.47,-82.079925,33.475547
18588,38206.14340,286.46,286.46,-82.079912,33.475547
18592,38202.14340,286.46,286.46,-82.079901,33.47555
18596,38198.14340,287.03,286.46,-82.079891,33.475558
18600,38194.14340,288.12,286.42,-82.079882,33.475566
18604,38190.14340,288.12,286.38,-82.079873,33.475573
18608,38186.14340,287.31,286.34,-82.079863,33.47558
18612,38182.14340,287.58,286.31,-82.07985,33.47558
18616,38178.14340,287.50,286.27,-82.079836,33.47558
18620,38174.14340,287.65,286.23,-82.079824,33.475581
18624,38170.14340,288.16,286.19,-82.079815,33.475589
18628,38166.14340,288.67,286.15,-82.079806,33.475597
18632,38162.14340,288.67,286.11,-82.079795,33.475602
18636,38158.14340,288.67,286.08,-82.079783,33.475604
18640,38154.14340,288.67,286.04,-82.079774,33.475612
18644,38150.14340,287.32,286.00,-82.079761,33.475612
18648,38146.14340,285.96,285.96,-82.079748,33.475612
18652,38142.14340,285.53,285.53,-82.079735,33.475612
18656,38138.14340,285.62,285.53,-82.079722,33.475612
18660,38134.14340,285.82,285.52,-82.079708,33.475612
18664,38130.14340,286.19,285.51,-82.079695,33.475612
18668,38126.14340,286.19,285.51,-82.079682,33.475612
18672,38122.14340,286.85,285.50,-82.079669,33.475612
18676,38118.14340,287.14,285.49,-82.079656,33.475612
18680,38114.14340,287.07,285.48,-82.079643,33.475612
18684,38110.14340,287.45,285.47,-82.07963,33.475612
18688,38106.14340,286.71,285.47,-82.07962,33.475605
18692,38102.14340,287.21,285.46,-82.079609,33.475601
18696,38098.14340,287.21,285.45,-82.079598,33.475597
18700,38094.14340,286.53,285.44,-82.079588,33.47559
18704,38090.14340,287.23,285.43,-82.079575,33.47559
18708,38086.14340,287.23,285.43,-82.079562,33.47559
18712,38082.14340,287.33,285.42,-82.079549,33.47559
18716,38078.14340,287.36,285.41,-82.079536,33.475589
18720,38074.14340,286.99,285.40,-82.079527,33.475582
18724,38070.14340,286.61,285.40,-82.079515,33.475579
18728,38066.14340,285.98,285.39,-82.079502,33.475579
18732,38062.14340,286.05,285.38,-82.079489,33.475579
18736,38058.14340,285.96,285.37,-82.079475,33.475579
18740,38054.14340,285.88,285.36,-82.079462,33.475579
18744,38050.14340,285.88,285.36,-82.079449,33.475579
18748,38046.14340,286.00,285.35,-82.079436,33.475579
18752,38042.14340,286.07,285.34,-82.079423,33.475579
18756,38038.14340,286.84,285.33,-82.07941,33.475579
18760,38034.14340,287.52,285.32,-82.079397,33.475579
18764,38030.14340,287.31,285.32,-82.079384,33.475579
18768,38026.14340,286.67,285.31,-82.079371,33.475579
18772,38022.14340,285.30,285.30,-82.079357,33.475579
18776,38018.14340,285.30,285.30,-82.079344,33.475579
18780,38014.14340,285.70,285.30,-82.079331,33.475579
18784,38010.14340,286.50,285.28,-82.079318,33.475579
18788,38006.14340,286.74,285.25,-82.079305,33.475579
18792,38002.14340,286.89,285.23,-82.079292,33.475579
18796,37998.14340,287.46,285.21,-82.079279,33.475579
18800,37994.14340,287.18,285.18,-82.079266,33.475579
18804,37990.14340,287.39,285.16,-82.079252,33.475579
18808,37986.14340,287.33,285.13,-82.079239,33.475579
18812,37982.14340,287.33,285.11,-82.079226,33.475579
18816,37978.14340,287.33,285.09,-82.079213,33.475579
18820,37974.14340,287.51,285.06,-82.0792,33.475579
18824,37970.14340,286.75,285.04,-82.07919,33.475574
18828,37966.14340,286.75,285.02,-82.079179,33.475568
18832,37962.14340,286.78,284.99,-82.079166,33.475568
18836,37958.14340,286.84,284.97,-82.079153,33.475568
18840,37954.14340,286.89,284.94,-82.07914,33.475568
18844,37950.14340,287.08,284.92,-82.079127,33.475568
18848,37946.14340,287.50,284.90,-82.079115,33.475566
18852,37942.14340,287.50,284.87,-82.079106,33.475558
18856,37938.14340,284.85,284.85,-82.079096,33.47555
18860,37934.14340,284.85,284.85,-82.079085,33.475546
18864,37930.14340,284.69,284.69,-82.079072,33.475546
18868,37926.14340,285.10,284.69,-82.079059,33.475546
18872,37922.14340,285.24,284.68,-82.079046,33.475546
18876,37918.14340,285.29,284.68,-82.079033,33.475546
18880,37914.14340,285.35,284.67,-82.07902,33.475546
18884,37910.14340,285.40,284.66,-82.079006,33.475546
18888,37906.14340,285.40,284.66,-82.078993,33.475546
18892,37902.14340,285.80,284.65,-82.07898,33.475546
18896,37898.14340,287.40,284.64,-82.078969,33.475542
18900,37894.14340,286.95,284.64,-82.078959,33.475535
18904,37890.14340,287.31,284.63,-82.078947,33.475534
18908,37886.14340,286.54,284.63,-82.078937,33.475527
18912,37882.14340,286.34,284.62,-82.078926,33.475524
18916,37878.14340,286.62,284.61,-82.078912,33.475524
18920,37874.14340,286.80,284.61,-82.078899,33.475524
18924,37870.14340,286.80,284.60,-82.078886,33.475524
18928,37866.14340,287.28,284.59,-82.078873,33.475524
18932,37862.14340,287.28,284.59,-82.078862,33.475519
18936,37858.14340,287.28,284.58,-82.078852,33.475513
18940,37854.14340,287.56,284.57,-82.078839,33.475513
18944,37850.14340,287.37,284.57,-82.078826,33.475513
18948,37846.14340,286.13,284.56,-82.078813,33.475513
18952,37842.14340,286.87,284.55,-82.0788,33.475513
18956,37838.14340,287.27,284.55,-82.078788,33.475515
18960,37834.14340,286.53,284.54,-82.078778,33.475522
18964,37830.14340,286.53,284.54,-82.078766,33.475524
18968,37826.14340,287.12,284.53,-82.078756,33.47553
18972,37822.14340,287.12,284.52,-82.078745,33.475535
18976,37818.14340,286.63,284.52,-82.078732,33.475535
18980,37814.14340,286.47,284.51,-82.078719,33.475535
18984,37810.14340,285.81,284.50,-82.078706,33.475535
18988,37806.14340,285.06,284.50,-82.078693,33.475535
18992,37802.14340,284.49,284.49,-82.078679,33.475535
18996,37798.14340,284.49,284.49,-82.078666,33.475535
19000,37794.14340,284.10,284.10,-82.078653,33.475535
19004,37790.14340,285.28,284.10,-82.07864,33.475535
19008,37786.14340,285.47,284.07,-82.078627,33.475535
19012,37782.14340,285.67,284.04,-82.078614,33.475535
19016,37778.14340,285.90,284.01,-82.078601,33.475535
19020,37774.14340,286.15,283.98,-82.078588,33.475535
19024,37770.14340,285.36,283.95,-82.078574,33.475535
19028,37766.14340,284.56,283.92,-82.078561,33.475535
19032,37762.14340,284.56,283.88,-82.078548,33.475535
19036,37758.14340,284.41,283.85,-82.078535,33.475535
19040,37754.14340,284.69,283.82,-82.078522,33.475535
19044,37750.14340,284.96,283.79,-82.078509,33.475535
19048,37746.14340,284.98,283.76,-82.078496,33.475535
19052,37742.14340,283.73,283.73,-82.078483,33.475535
19056,37738.14340,283.31,283.31,-82.07847,33.475535
19060,37734.14340,283.39,283.31,-82.078456,33.475535
19064,37730.14340,283.48,283.30,-82.078443,33.475535
19068,37726.14340,283.48,283.29,-82.07843,33.475535
19072,37722.14340,283.39,283.28,-82.078417,33.475535
19076,37718.14340,283.27,283.27,-82.078404,33.475535
19080,37714.14340,283.57,283.27,-82.078391,33.475535
19084,37710.14340,283.44,283.26,-82.078378,33.475535
19088,37706.14340,284.31,283.24,-82.078365,33.475535
19092,37702.14340,285.14,283.23,-82.078351,33.475535
19096,37698.14340,287.33,283.22,-82.078338,33.475535
19100,37694.14340,287.37,283.20,-82.078325,33.475535
19104,37690.14340,287.37,283.19,-82.078312,33.475535
19108,37686.14340,287.22,283.18,-82.078299,33.475536
19112,37682.14340,286.31,283.16,-82.078286,33.475536
19116,37678.14340,285.38,283.15,-82.078273,33.475537
19120,37674.14340,284.44,283.14,-82.07826,33.475537
19124,37670.14340,283.64,283.12,-82.078247,33.475537
19128,37666.14340,283.11,283.11,-82.078233,33.475538
19132,37662.14340,283.11,283.11,-82.07822,33.475538
19136,37658.14340,283.52,283.11,-82.078207,33.475538
19140,37654.14340,283.52,283.11,-82.078194,33.475539
19144,37650.14340,284.18,283.10,-82.078181,33.475539
19148,37646.14340,283.79,283.10,-82.078168,33.475539
19152,37642.14340,284.42,283.09,-82.078155,33.475539
19156,37638.14340,284.77,283.09,-82.078142,33.475541
19160,37634.14340,285.16,283.08,-82.07813,33.475545
19164,37630.14340,285.63,283.08,-82.078118,33.47555
19168,37626.14340,284.55,283.07,-82.078106,33.475554
19172,37622.14340,284.55,283.07,-82.078094,33.475558
19176,37618.14340,283.26,283.06,-82.078082,33.475563
19180,37614.14340,283.30,283.06,-82.07807,33.475567
19184,37610.14340,283.33,283.05,-82.078058,33.475571
19188,37606.14340,283.58,283.05,-82.078046,33.475576
19192,37602.14340,283.85,283.04,-82.078034,33.47558
19196,37598.14340,284.67,283.04,-82.078022,33.475585
19200,37594.14340,284.67,283.03,-82.07801,33.47559
19204,37590.14340,285.46,283.03,-82.077998,33.475594
19208,37586.14340,284.11,283.02,-82.077986,33.475599
19212,37582.14340,284.11,283.02,-82.077974,33.475603
19216,37578.14340,284.32,283.01,-82.077962,33.475608
19220,37574.14340,284.35,283.01,-82.07795,33.475612
19224,37570.14340,284.88,283.01,-82.077939,33.475617
19228,37566.14340,285.66,283.00,-82.077927,33.475621
19232,37562.14340,285.77,283.00,-82.077915,33.475626
19236,37558.14340,285.92,282.99,-82.077902,33.475628
19240,37554.14340,285.96,282.99,-82.077889,33.47563
19244,37550.14340,285.93,282.98,-82.077876,33.475632
19248,37546.14340,285.93,282.98,-82.077863,33.475634
19252,37542.14340,284.78,282.97,-82.07785,33.475636
19256,37538.14340,285.69,282.97,-82.077837,33.475639
19260,37534.14340,286.05,282.96,-82.077824,33.475641
19264,37530.14340,286.07,282.96,-82.077812,33.475643
19268,37526.14340,286.03,282.95,-82.077799,33.475645
19272,37522.14340,285.75,282.95,-82.077786,33.475647
19276,37518.14340,285.75,282.94,-82.077773,33.475649
19280,37514.14340,285.57,282.94,-82.07776,33.475651
19284,37510.14340,284.52,282.93,-82.077747,33.475653
19288,37506.14340,284.52,282.93,-82.077734,33.475656
19292,37502.14340,283.99,282.92,-82.077722,33.475658
19296,37498.14340,284.08,282.92,-82.077709,33.475661
19300,37494.14340,283.55,282.91,-82.077696,33.475663
19304,37490.14340,282.91,282.91,-82.077683,33.475666
19308,37486.14340,282.55,282.55,-82.077671,33.475668
19312,37482.14340,282.44,282.44,-82.077659,33.475673
19316,37478.14340,282.44,282.44,-82.077647,33.475678
19320,37474.14340,282.38,282.38,-82.077635,33.475682
19324,37470.14340,282.17,282.17,-82.077623,33.475687
19328,37466.14340,282.14,282.14,-82.077611,33.475692
19332,37462.14340,282.21,282.14,-82.0776,33.475697
19336,37458.14340,282.21,282.13,-82.077588,33.475702
19340,37454.14340,282.34,282.12,-82.077576,33.475706
19344,37450.14340,282.34,282.10,-82.077564,33.475711
19348,37446.14340,284.10,282.09,-82.077553,33.475717
19352,37442.14340,283.18,282.08,-82.077541,33.475722
19356,37438.14340,282.90,282.07,-82.07753,33.475727
19360,37434.14340,282.90,282.05,-82.077518,33.475733
19364,37430.14340,282.24,282.04,-82.077507,33.475738
19368,37426.14340,283.18,282.03,-82.077496,33.475743
19372,37422.14340,283.40,282.02,-82.077484,33.475749
19376,37418.14340,283.40,282.00,-82.077473,33.475754
19380,37414.14340,282.92,281.99,-82.077461,33.47576
19384,37410.14340,282.71,281.98,-82.07745,33.475766
19388,37406.14340,283.48,281.97,-82.077439,33.475772
19392,37402.14340,284.65,281.95,-82.077428,33.475778
19396,37398.14340,284.29,281.94,-82.077417,33.475783
19400,37394.14340,284.29,281.93,-82.077406,33.475789
19404,37390.14340,284.49,281.92,-82.077395,33.475795
19408,37386.14340,282.26,281.90,-82.077384,33.475801
19412,37382.14340,281.89,281.89,-82.077373,33.475807
19416,37378.14340,281.92,281.89,-82.077361,33.475812
19420,37374.14340,282.06,281.86,-82.077349,33.475817
19424,37370.14340,281.99,281.83,-82.077338,33.475822
19428,37366.14340,282.15,281.80,-82.077326,33.475827
19432,37362.14340,282.15,281.76,-82.077315,33.475832
19436,37358.14340,281.95,281.73,-82.077303,33.475837
19440,37354.14340,282.02,281.70,-82.077291,33.475843
19444,37350.14340,281.67,281.67,-82.07728,33.475848
19448,37346.14340,281.56,281.56,-82.077268,33.475853
19452,37342.14340,281.35,281.35,-82.077257,33.475858
19456,37338.14340,281.37,281.35,-82.077248,33.475866
19460,37334.14340,281.42,281.32,-82.077238,33.475874
